,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
0,600556,ST慧球,0.6918,0.3621,13.913,0.9549,102.9034
1,600675,中华企业,0.6879,0.1891,10.1744,0.2315,33.4308
2,600516,方大炭素,0.4142,0.2479,0.8708,0.9201,101.6735
3,000888,峨眉山A,0.3194,0.1276,1.7542,0.7172,130.0511
4,600301,ST南化,0.259,0.0734,,0.09699999999999999,10.7412
5,300193,佳士科技,0.2568,0.0786,1.4091,0.5886,62.051
6,600190,锦州港,0.2544,0.07400000000000001,7.5261,0.122,23.003
7,300483,沃施股份,0.2106,0.1385,12.3871,0.4347,43.6202
8,300204,舒泰神,0.1972,0.1041,1.0511,0.6529,78.6025
9,000613,*ST东海A,0.1837,0.0586,1.7934,0.4963,57.9907
10,600507,方大特钢,0.1831,0.2964,1.0013,0.7411,75.7202
11,002714,牧原股份,0.17800000000000002,0.0743,0.7555,0.158,21.4722
12,600423,*ST柳化,0.1539,0.0879,4.575,0.08900000000000001,11.2526
13,300451,创业软件,0.151,0.0645,1.0316,0.2776,28.7087
14,300476,胜宏科技,0.1465,0.0875,1.2696,0.2567,25.9685
15,002382,蓝帆医疗,0.1444,0.1239,1.1267,0.5568,58.1673
16,002189,利达光电,0.1432,0.1424,5.8044,0.4218,53.2974
17,603456,九洲药业,0.1422,0.0777,1.6636,0.5288,59.8597
18,002644,佛慈制药,0.1325,0.0283,0.8965,0.067,17.9077
19,002793,东音股份,0.1235,0.1138,0.8828,0.7066,73.1479
20,600168,武汉控股,0.1219,0.0146,0.4713,0.027999999999999997,5.1917
21,002258,利尔化学,0.1177,0.0804,0.8275,0.2101,28.0244
22,600219,南山铝业,0.106,0.0393,1.0519,0.159,23.9508
23,300740,御家汇,0.1053,0.2022,1.0964,0.5473,63.8433
24,603078,江化微,0.1026,0.0412,0.677,0.27,47.38
25,000661,长春高新,0.09300000000000001,0.0519,0.4111,0.1773,19.3236
26,603626,科森科技,0.0806,0.0507,0.7846,0.1037,11.4326
27,603225,新凤鸣,0.0773,0.1606,1.1732,0.3951,51.5056
28,300474,景嘉微,0.0699,0.0185,0.1802,0.1318,15.5253
29,600282,南钢股份,0.0628,0.0626,0.6943,0.1065,11.154000000000002
30,600226,瀚叶股份,0.0625,0.0151,0.3098,0.0658,7.4435
31,600360,华微电子,0.0622,0.0249,1.073,0.0516,6.4224
32,600527,江南高纤,0.0599,0.0333,1.2216,1.0295,127.723
33,000932,*ST华菱,0.0551,0.0562,0.7956,0.0698,8.7937
34,002741,光华科技,0.0549,0.0452,0.7788,0.155,16.5675
35,600785,新华百货,0.0531,0.0866,4.9731,0.1494,16.2588
36,603618,杭电股份,0.0499,0.0431,1.6853,0.0756,7.6034
37,600678,四川金顶,0.0414,0.0175,0.2654,0.0188,16.9426
38,600353,旭光股份,0.0401,0.0245,0.9593,0.0842,8.6196
39,603077,和邦生物,0.0373,0.0135,0.3503,0.0965,13.4238
40,600961,株冶集团,0.0243,0.0576,5.7562,0.0597,6.5871
41,002245,澳洋顺昌,0.0241,0.0133,0.1622,0.0299,4.2468
42,600829,人民同泰,0.0174,0.0287,0.5471,0.0431,4.5184
43,600664,哈药股份,0.0124,0.0109,0.3213,0.024,2.6445
44,600058,五矿发展,0.0065,0.0178,11.8904,0.0278,2.8542
45,300644,南京聚隆,0.0037,0.0046,0.0676,0.0095,0.9881
46,600077,宋都股份,0.0029,0.0005,0.051,0.0006,0.078
47,601313,江南嘉捷,0.0003,0.0002,0.0086,0.0007,0.0683
48,600722,金牛化工,-0.0025,-0.0016,-0.0322,-0.0132,-1.325
49,300320,海达股份,-0.0031,-0.0024,-0.0278,-0.0056,-0.5726
50,300618,寒锐钴业,-0.0642,-0.0433,-0.2094,-0.0888,-10.4941
51,002837,英维克,-0.077,-0.0482,-0.6875,-0.1046,-12.4592
52,000737,*ST南风,-0.0785,-0.0562,,-0.0506,-5.912999999999999
53,300495,美尚生态,-0.0852,-0.0284,-0.6911,-0.0489,-5.9567
54,002459,天业通联,-0.08800000000000001,-0.0219,-1.4165,-0.1827,-18.4204
55,300161,华中数控,-0.1587,-0.0672,-4.3329,-0.1638,-18.8723
56,603707,健友股份,-0.2108,-0.0871,-0.7466,-0.3651,-38.6704
57,000410,*ST沈机,-0.2681,-0.0525,-10.3667,-0.0551,-5.9426
58,300536,农尚环境,-0.3057,-0.132,-2.5019,-0.2859,-28.5903
59,000838,财信发展,-0.7592,-0.1589,-6.4505,-0.2033,-26.3873
60,600733,SST前锋,-0.976,-0.09699999999999999,-7.6586,-0.2484,-35.9132
61,600696,ST匹凸,-2.6324,-0.5669,-24.9968,-0.889,-91.8316
62,601128,常熟银行,,,,,
63,603668,天马科技,,,,,
64,600816,安信信托,,0.0689,0.4716,0.1936,
