,code,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio
0,600527,江南高纤,27.0362,21.4422,1825.3713,-4132.2668,96.7635,3.2365
1,000613,*ST东海A,1.5634,1.5378,122.7747,-1047.3804,88.1884,11.8116
2,002459,天业通联,5.8512,4.9124,50.7343,992.8365,87.9911,12.0089
3,600722,金牛化工,6.0718,6.0599,195.7067,-503.7796,87.5111,12.4889
4,300193,佳士科技,6.5961,6.1543,256.5608,-422.5732,86.6521,13.3479
5,603077,和邦生物,2.7154,1.9084,63.9485,1149.0112,86.0104,13.9896
6,300474,景嘉微,5.9683,5.3337,256.9561,-3355.2406,85.9945,14.0055
7,603456,九洲药业,3.2785,1.9488,98.9744,783.5354,85.3057,14.6943
8,603078,江化微,7.7826,7.5249,199.8646,5990.6521,84.7484,15.2516
9,300204,舒泰神,5.2292,5.1221,115.2425,-4208.4517,84.0541,15.9459
10,002793,东音股份,3.4128,2.1274,89.9443,1139.9244,83.8984,16.1016
11,000888,峨眉山A,3.4856,3.2784,280.4088,6347.8914,82.2007,17.7993
12,002382,蓝帆医疗,1.956,1.3238,60.4231,1194.358,77.7507,22.2493
13,600226,瀚叶股份,1.9374,1.8118,76.6581,773.6622,77.0843,22.9157
14,300451,创业软件,1.6285,1.4804,59.5325,-10010.8582,76.7627,23.2373
15,603707,健友股份,3.6132,1.4802,12.0545,-8102.824,76.1576,23.8424
16,600219,南山铝业,2.0082,1.4041,73.7413,1201.8384,75.2814,24.7186
17,600516,方大炭素,3.2299,2.8165,47.5175,11766.1943,73.0582,26.9418
18,600353,旭光股份,2.7237,2.3198,95.5405,6819.8686,70.9067,29.0933
19,002741,光华科技,2.0127,1.651,41.0255,1624.6325,70.8229,29.1771
20,000661,长春高新,2.6637,1.7314,70.4415,-11920.1249,70.73899999999999,29.261
21,300483,沃施股份,2.464,2.1461,121.8902,245.4454,68.1466,31.8534
22,002189,利达光电,2.1622,1.9173,62.3049,237.9929,66.249,33.751
23,601313,江南嘉捷,1.991,1.7709,48.9699,-10118.9152,65.9578,34.0422
24,300476,胜宏科技,1.9062,1.6573,30.3185,1075.7361,65.9326,34.0674
25,600816,安信信托,--,--,--,--,64.4408,35.5592
26,300740,御家汇,2.6444,1.6257,96.5097,4366.1759,63.0505,36.9495
27,600556,ST慧球,2.4911,2.4872,193.4161,-15874.086,62.0821,37.9179
28,002258,利尔化学,1.4111,0.9742,30.3037,1714.4212,61.725,38.275
29,600733,SST前锋,3.1707,1.0844,75.1076,358.309,60.9561,39.0439
30,600507,方大特钢,1.3469,1.0261,32.3686,13837.4753,60.0122,39.9878
31,603225,新凤鸣,1.0208,0.7983,42.6155,1327.5352,59.3656,40.6344
32,300161,华中数控,2.0184,1.5094,53.7903,369.4694,58.9779,41.0221
33,002644,佛慈制药,2.9593,2.4293,18.9264,-201.4327,57.8404,42.1596
34,300320,海达股份,1.74,1.3129,14.9915,2228.657,57.0964,42.9036
35,002245,澳洋顺昌,1.6752,1.3096,12.015,1376.9191,55.6948,44.3052
36,600664,哈药股份,1.6079,1.3012,62.2136,-1228.007,54.6128,45.3872
37,002837,英维克,2.4056,2.0864,98.9183,3046.2688,53.9455,46.0545
38,300536,农尚环境,2.1281,1.1881,60.0258,35043.7127,53.8478,46.1522
39,002714,牧原股份,1.0504,0.5469,50.4271,858.0742,52.9707,47.0293
40,600360,华微电子,1.6267,1.4977,99.5277,285.3948,51.6638,48.3362
41,300644,南京聚隆,1.5784,1.2011,23.3425,1126.002,51.5296,48.4704
42,300618,寒锐钴业,2.0848,1.0634,66.6758,4136.1973,51.2351,48.7649
43,603626,科森科技,1.2383,1.1274,28.3555,812.4543,51.0949,48.9051
44,603668,天马科技,1.4728,1.0397,63.5104,804.5268,50.0144,49.9856
45,600168,武汉控股,0.874,0.8677,22.3165,715.848,47.9665,52.0335
46,603618,杭电股份,1.2845,0.9066,19.4785,403.5046,43.0423,56.9577
47,600785,新华百货,0.7928,0.5309,26.3356,442.9733,42.0304,57.9696
48,300495,美尚生态,1.4467,1.0572,40.7801,965.3339,41.888000000000005,58.111999999999995
49,600282,南钢股份,0.661,0.4649,12.9809,758.5436,41.2286,58.7714
50,600190,锦州港,0.6705,0.6018,13.1723,158.0543,39.3885,60.6115
51,600696,ST匹凸,1.2169,1.2169,26.3553,7364.4433,36.2308,63.7692
52,600058,五矿发展,1.327,1.0688,19.915,111.6334,35.7553,64.2447
53,600829,人民同泰,1.4027,1.0978,14.4019,2021.5586,33.2968,66.7032
54,600301,ST南化,0.7721,0.7508,65.7324,-250.7884,24.2618,75.7382
55,600077,宋都股份,1.4735,0.4534,19.4442,427.1119,22.2483,77.7517
56,000838,财信发展,1.5599,0.2181,11.9623,1576.9157,21.8201,78.1799
57,000932,*ST华菱,0.6231,0.4611,20.3414,387.8424,19.4593,80.5407
58,600675,中华企业,1.5147,0.6873,61.4521,235.1836,18.3183,81.6817
59,601128,常熟银行,--,--,--,--,7.6032,92.3968
60,600678,四川金顶,2.023,1.8772,79.4867,518.6046,6.6697,93.3303
61,000410,*ST沈机,0.9038,0.6126,31.3694,105.2376,4.7688,95.2312
62,600961,株冶集团,0.5525,0.2291,10.2419,137.3243,3.5189999999999997,96.48100000000001
63,600423,*ST柳化,0.3004,0.2116,7.6574,145.7752,1.2059,98.7941
64,000737,*ST南风,0.5081,0.3365,13.6316,-344.5325,-11.1035,111.1035
