,code,name,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days
0,600722,金牛化工,178.0475,2.0219,302.0654,1.1918,0.8558,420.659
1,600556,ST慧球,5.2946,67.9938,295.4493,1.2185,0.3416,1053.8642
2,600168,武汉控股,0.8289,434.3105,90.1115,3.9951,0.5669,635.0326
3,000613,*ST东海A,43.4487,8.2856,49.9341,7.2095,1.2504,287.9079
4,603225,新凤鸣,140.0033,2.5714,28.0128,12.8513,8.3708,43.0066
5,600678,四川金顶,18.3548,19.6134,21.5212,16.7277,3.0047,119.8123
6,600190,锦州港,66.1972,5.4383,21.3389,16.8706,1.6980000000000002,212.0141
7,600058,五矿发展,12.3346,29.1862,15.8142,22.7644,3.0651,117.4513
8,603078,江化微,2.609,137.9839,14.2898,25.1928,0.7528,478.2147
9,603626,科森科技,2.491,144.5203,11.9829,30.0428,1.6333,220.4127
10,000888,峨眉山A,50.2823,7.1596,11.7343,30.6793,1.1516,312.6085
11,002189,利达光电,3.6707,98.0739,11.6095,31.0091,1.7449,206.3155
12,600785,新华百货,62.2435,5.7837,9.0015,39.9933,3.8221,94.1891
13,300451,创业软件,3.0315,118.7531,8.781,40.9976,1.3002,276.8805
14,600829,人民同泰,2.9452,122.2328,8.327,43.2329,1.8671,192.8124
15,000932,*ST华菱,29.8151,12.0744,8.1022,44.4324,2.8553,126.0813
16,600282,南钢股份,69.8477,5.1541,7.9856,45.0811,3.2103,112.1391
17,600423,*ST柳化,21.9713,16.385,7.9629,45.2097,2.4582,146.4486
18,600961,株冶集团,172.7312,2.0842,7.9617,45.2165,5.018,71.7417
19,600507,方大特钢,55.7034,6.4628,7.7648,46.3631,3.1767,113.3251
20,600226,瀚叶股份,9.8298,36.6233,7.0013,51.419,0.6952,517.8366
21,600360,华微电子,4.263999999999999,84.4278,6.984,51.5464,0.6998,514.4327
22,300476,胜宏科技,3.0328,118.7022,6.6448,54.1777,1.1879,303.0558
23,002741,光华科技,3.9768,90.525,6.4276,56.0085,1.7754,202.7712
24,601313,江南嘉捷,2.4538,146.7112,6.3288,56.8828,1.1767,305.9403
25,300644,南京聚隆,3.9565,90.9895,5.7267,62.8634,1.8451,195.1114
26,600664,哈药股份,4.1027,87.7471,5.1197,70.3166,1.2563,286.5558
27,002382,蓝帆医疗,8.18,44.0098,5.0186,71.7332,1.9635,183.3461
28,002258,利尔化学,5.9173,60.8386,4.4939,80.1086,2.0761,173.4021
29,002245,澳洋顺昌,4.3189,83.3546,4.4445,80.999,1.1655,308.8803
30,600353,旭光股份,3.3887,106.2354,4.4218,81.4148,0.8138,442.3691
31,300483,沃施股份,2.4278,148.2824,4.3647,82.4799,0.9016,399.2902
32,600527,江南高纤,74.0183,4.8637,4.087,88.0842,1.0276,350.3309
33,002837,英维克,2.3369999999999997,154.0436,3.8882,92.5878,0.7715,466.6235
34,300320,海达股份,2.1916,164.2636,3.6860000000000004,97.6668,1.271,283.2415
35,603077,和邦生物,7.0933,50.7521,3.6669,98.1756,1.3181,273.1204
36,603618,杭电股份,3.0722,117.1799,3.5639,101.0129,1.2172,295.7608
37,603668,天马科技,5.5096,65.3405,3.5453,101.5429,1.2843,280.3083
38,002793,东音股份,7.0281,51.2229,3.4866,103.2525,1.6502,218.1554
39,000737,*ST南风,5.0095,71.8635,3.3158,108.5711,1.405,256.2278
40,300193,佳士科技,7.5744,47.5285,3.3069,108.8633,0.3813,944.1385
41,600219,南山铝业,10.5564,34.1025,3.1459,114.4347,1.3007,276.774
42,300740,御家汇,21.1592,17.0139,2.6389,136.4205,2.4839,144.9334
43,603456,九洲药业,5.3043,67.8695,2.3633,152.3294,1.3748,261.8563
44,300204,舒泰神,5.8141,61.9184,2.1974,163.83,0.7579,474.9967
45,600301,ST南化,7.1542,50.3201,2.1839,164.8427,0.4471,805.189
46,002714,牧原股份,,,2.0708,173.8459,1.6119,223.3389
47,002459,天业通联,1.2768,281.9549,1.9093,188.5508,0.3721,967.4819
48,002644,佛慈制药,6.566,54.8279,1.8157,198.2706,0.39799999999999996,904.5226
49,300161,华中数控,1.7707,203.3094,1.7983,200.1891,0.6057,594.3536
50,600516,方大炭素,9.4348,38.1566,1.6652,216.1902,1.0299,349.5485
51,300495,美尚生态,1.5011,239.8241,1.6558,217.4176,0.6005,599.5004
52,300618,寒锐钴业,13.4352,26.7953,1.2657,284.4276,1.2207,294.9128
53,300536,农尚环境,2.0929,172.0101,0.9175,392.3706,0.4888,736.4975
54,300474,景嘉微,1.7045,211.2056,0.8179,440.1516,0.3884,926.8795
55,603707,健友股份,7.2806,49.4465,0.607,593.0807,0.6858,524.9344
56,000661,长春高新,8.3392,43.1696,0.5887,611.5169,0.8482,424.4282
57,000410,*ST沈机,0.6542,550.2904,0.4412,815.9565,0.2248,1601.4235
58,600675,中华企业,160.8097,2.2387,0.3866,931.195,0.3093,1163.9185
59,000838,财信发展,30.5427,11.7868,0.2511,1433.6918,0.27699999999999997,1299.639
60,600077,宋都股份,1104.7244,0.3259,0.2227,1616.5245,0.2279,1579.6402
61,600733,SST前锋,,,0.1097,3281.6773,0.1231,2924.4517
62,600696,ST匹凸,,,,,0.3274,1099.5724
63,600816,安信信托,,,,,,
64,601128,常熟银行,,,,,,
