,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,yeji_eps,yeji_eps_yoy,yeji_bvps,yeji_roe,yeji_epcf,yeji_net_profits,yeji_profits_yoy,yeji_distrib,predict_high,predict_low,predict_open,predict_close
0,17.82,21.38,21.38,17.82,127.58,6.53,43.97,21.38,21.38,21.38,127.58,127.58,127.58,0.04,0.68,-27.66,,16.06,,6688.02,-28.17,,23.52,23.52,23.52,23.52
1,23.52,23.52,23.52,23.52,61.59,2.14,10.01,22.45,22.45,22.45,94.59,94.59,94.59,0.02,0.68,-27.66,,16.06,,6688.02,-28.17,,25.87,25.87,25.87,25.87
2,25.87,25.87,25.87,25.87,56.59,2.35,9.99,23.59,23.59,23.59,81.92,81.92,81.92,0.02,0.68,-27.66,,16.06,,6688.02,-28.17,,28.46,28.46,28.46,28.46
3,28.46,28.46,28.46,28.46,20.0,2.59,10.01,24.808000000000003,24.808000000000003,24.808000000000003,66.44,66.44,66.44,0.01,0.68,-27.66,,16.06,,6688.02,-28.17,,31.31,31.31,31.31,31.31
4,31.31,31.31,31.31,31.31,78.83,2.85,10.01,26.108,26.108,26.108,68.92,68.92,68.92,0.02,0.68,-27.66,,16.06,,6688.02,-28.17,,34.44,34.44,34.44,34.44
5,34.44,34.44,34.44,34.44,95.99,3.13,10.0,28.72,27.497,27.497,62.6,73.43,73.43,0.03,0.68,-27.66,,16.06,,6688.02,-28.17,,37.88,37.88,37.88,37.88
6,37.88,37.88,37.88,37.88,203.59,3.44,9.99,31.592,28.98,28.98,91.0,92.02,92.02,0.06,0.68,-27.66,,16.06,,6688.02,-28.17,,41.67,41.67,41.67,41.67
7,41.67,41.67,41.67,41.67,394.9,3.79,10.01,34.751999999999995,30.566,30.566,158.66,129.88,129.88,0.12,0.68,-27.66,,16.06,,6688.02,-28.17,,45.84,45.84,45.84,45.84
8,45.84,45.84,45.84,45.84,1966.88,4.17,10.01,38.228,32.263000000000005,32.263000000000005,548.04,333.99,333.99,0.6,0.68,-27.66,,16.06,,6688.02,-28.17,,49.0,41.6,45.0,42.54
9,45.0,49.0,42.54,41.6,176101.02,-3.3,-7.2,40.474000000000004,33.291,33.291,35752.48,17910.7,17910.7,53.36,0.68,-27.66,,16.06,,6688.02,-28.17,,41.1,38.29,40.03,38.29
10,40.03,41.1,38.29,38.29,115802.65,-4.25,-9.99,41.244,34.982,33.745,58893.81,29478.2,26809.97,35.09,0.68,-27.66,,16.06,,6688.02,-28.17,,38.3,36.04,37.55,36.04
11,37.55,38.3,36.04,36.04,85939.29,-2.25,-5.88,40.876,36.234,33.937,76040.95,38065.97,31737.41,26.04,0.68,-27.66,,16.06,,6688.02,-28.17,,36.68,33.1,35.5,34.8
12,35.5,36.68,34.8,33.1,72094.0,-1.24,-3.44,39.501999999999995,37.126999999999995,34.003,90380.77,45269.72,34841.76,21.85,0.68,-27.66,,16.06,,6688.02,-28.17,,36.76,32.67,34.8,35.8
13,34.8,36.76,35.8,32.67,90381.26,1.0,2.87,37.494,37.861,34.131,108063.64,54305.84,38808.87,27.39,0.68,-27.66,,16.06,,6688.02,-28.17,,34.98,33.03,34.8,33.13
14,34.8,34.98,33.13,33.03,63396.46,-2.67,-7.46,35.611999999999995,38.043,34.065,85522.73,60637.6,40448.04,19.21,0.68,-27.66,,16.06,,6688.02,-28.17,,33.64,31.88,32.4,32.57
15,32.4,33.64,32.57,31.88,48870.38,-0.56,-1.69,34.468,37.856,33.971,72136.28,65515.04,40974.44,14.81,0.68,-27.66,,16.06,,6688.02,-28.17,,34.33,32.47,32.61,33.7
16,32.61,34.33,33.7,32.47,52613.74,1.13,3.47,34.0,37.438,33.955,65471.17,70756.06,41659.1,15.94,0.68,-27.66,,16.06,,6688.02,-28.17,,34.97,33.42,33.55,34.23
17,33.55,34.97,34.23,33.42,45307.12,0.53,1.57,33.885999999999996,36.694,33.971,60113.79,75247.28,41861.77,13.73,0.68,-27.66,,16.06,,6688.02,-28.17,,34.18,32.87,34.09,32.88
18,34.09,34.18,32.88,32.87,36686.03,-1.35,-3.94,33.302,35.398,33.913000000000004,49374.75,78719.19,41589.36,11.12,0.68,-27.66,,16.06,,6688.02,-28.17,,34.39,32.5,32.7,33.64
19,32.7,34.39,33.64,32.5,33327.0,0.76,2.31,33.404,34.508,33.9,43360.85,64441.79,41176.24,10.1,0.68,-27.66,,16.06,,6688.02,-28.17,,33.99,33.15,33.42,33.85
20,33.42,33.99,33.85,33.15,31438.23,0.21,0.62,33.66,34.064,34.523,39874.42,56005.35,42741.78,9.53,0.68,-27.66,,16.06,,6688.02,-28.17,,34.78,33.15,33.7,34.34
21,33.7,34.78,34.34,33.15,37209.81,0.49,1.45,33.788000000000004,33.894,35.064,36793.64,51132.4,44599.19,11.28,0.68,-27.66,,16.06,,6688.02,-28.17,,37.77,34.69,34.69,37.77
22,34.69,37.77,37.77,34.69,91696.33,3.43,9.99,34.496,34.191,35.659,46071.48,53092.64,49181.18,27.79,0.68,-27.66,,16.06,,6688.02,-28.17,,39.7,37.5,37.85,38.6
23,37.85,39.7,38.6,37.5,114932.21,0.83,2.2,35.64,34.471,36.166,61720.72,55547.73,54926.79,34.83,0.68,-27.66,,16.06,,6688.02,-28.17,,40.6,37.3,38.01,39.53
24,38.01,40.6,39.53,37.3,95661.84,0.93,2.41,36.818000000000005,35.111,36.577,74187.68,58774.27,59705.94,28.99,0.68,-27.66,,16.06,,6688.02,-28.17,,39.43,37.88,39.0,38.27
