,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,yeji_eps,yeji_eps_yoy,yeji_bvps,yeji_roe,yeji_epcf,yeji_net_profits,yeji_profits_yoy,yeji_distrib,predict_high
0,18.0,18.07,18.05,17.88,27263.45,0.06,0.33,18.05,18.05,18.05,27263.45,27263.45,27263.45,1.92,0.13,-18.71,,2.99,,10467.04,-18.9,,18.68
1,18.18,18.68,18.37,18.16,41511.84,0.32,1.77,18.21,18.21,18.21,34387.64,34387.64,34387.64,2.92,0.13,-18.71,,2.99,,10467.04,-18.9,,18.58
2,18.35,18.58,18.37,18.35,1141.0,0.0,0.0,18.262999999999998,18.262999999999998,18.262999999999998,23305.43,23305.43,23305.43,0.08,0.13,-18.71,,2.99,,10467.04,-18.9,,18.82
3,18.43,18.82,18.43,18.19,49782.63,0.06,0.33,18.305,18.305,18.305,29924.73,29924.73,29924.73,3.5,0.13,-18.71,,2.99,,10467.04,-18.9,,18.73
4,18.48,18.73,18.63,18.28,34557.79,0.2,1.08,18.37,18.37,18.37,30851.34,30851.34,30851.34,2.43,0.13,-18.71,,2.99,,10467.04,-18.9,,20.49
5,18.68,20.49,20.47,18.21,117466.82,1.84,9.88,18.854,18.72,18.72,48892.02,45287.26,45287.26,8.27,0.13,-18.71,,2.99,,10467.04,-18.9,,21.67
6,19.9,21.67,21.11,19.71,173575.34,0.64,3.13,19.402,19.061,19.061,75304.72,63614.12,63614.12,12.22,0.13,-18.71,,2.99,,10467.04,-18.9,,22.3
7,20.85,22.3,20.63,20.6,141640.73,-0.48,-2.27,19.854,19.258,19.258,103404.66,73367.45,73367.45,9.97,0.13,-18.71,,2.99,,10467.04,-18.9,,21.49
8,20.85,21.49,21.01,20.39,74420.96,0.38,1.84,20.37,19.452,19.452,108332.33,73484.51,73484.51,5.24,0.13,-18.71,,2.99,,10467.04,-18.9,,22.29
9,21.04,22.29,21.41,20.81,103402.77,0.4,1.9,20.926,19.648,19.648,122101.32,76476.33,76476.33,7.28,0.13,-18.71,,2.99,,10467.04,-18.9,,21.73
10,21.5,21.73,20.4,20.2,76997.61,-1.01,-4.72,20.912,19.883,19.715999999999998,114007.48,81449.75,76523.72,5.42,0.13,-18.71,,2.99,,10467.04,-18.9,,20.9
11,20.47,20.9,20.61,20.06,48789.73,0.21,1.03,20.811999999999998,20.107,19.791,89050.36,82177.54,74212.56,3.43,0.13,-18.71,,2.99,,10467.04,-18.9,,20.91
12,20.9,20.91,20.53,20.48,47686.28,-0.08,-0.39,20.791999999999998,20.323,19.848,70259.47,86832.07,72172.07,3.36,0.13,-18.71,,2.99,,10467.04,-18.9,,20.69
13,20.57,20.69,20.16,20.07,47063.96,-0.37,-1.8,20.622,20.496,19.87,64788.07,86560.2,70378.64,3.31,0.13,-18.71,,2.99,,10467.04,-18.9,,20.5
14,20.1,20.5,20.15,19.85,37338.32,-0.01,-0.05,20.37,20.648000000000003,19.889,51575.18,86838.25,68175.95,2.63,0.13,-18.71,,2.99,,10467.04,-18.9,,20.56
15,20.2,20.56,20.54,20.16,30943.12,0.39,1.94,20.398,20.655,19.929000000000002,42364.28,78185.88,65848.9,2.18,0.13,-18.71,,2.99,,10467.04,-18.9,,21.2
16,20.78,21.2,21.0,20.51,54160.25,0.46,2.24,20.476,20.644000000000002,19.992,43438.39,66244.37,65161.33,3.81,0.13,-18.71,,2.99,,10467.04,-18.9,,22.39
17,21.55,22.39,21.91,21.5,111467.82,0.91,4.33,20.752,20.772,20.099,56194.69,63227.08,67733.91,7.85,0.13,-18.71,,2.99,,10467.04,-18.9,,22.66
18,22.0,22.66,22.25,21.6,92739.93,0.34,1.55,21.17,20.896,20.212,65329.89,65058.98,69050.02,6.53,0.13,-18.71,,2.99,,10467.04,-18.9,,22.94
19,22.25,22.94,22.31,21.8,85189.85,0.06,0.27,21.601999999999997,20.986,20.317,74900.19,63237.69,69857.01,6.0,0.13,-18.71,,2.99,,10467.04,-18.9,,22.85
20,22.32,22.85,22.16,22.05,68604.07,-0.15,-0.67,21.926,21.162,20.523000000000003,82432.38,62398.33,71924.04,4.83,0.13,-18.71,,2.99,,10467.04,-18.9,,23.0
21,22.32,23.0,22.9,22.24,105941.04,0.74,3.34,22.305999999999997,21.391,20.749000000000002,92788.54,68113.46,75145.5,7.46,0.13,-18.71,,2.99,,10467.04,-18.9,,23.03
22,22.9,23.03,22.76,21.5,94953.11,-0.14,-0.61,22.476,21.614,20.969,89485.6,72840.15,79836.11,6.68,0.13,-18.71,,2.99,,10467.04,-18.9,,23.6
23,22.7,23.6,22.85,22.45,95306.43,0.09,0.4,22.596,21.883000000000003,21.19,89998.9,77664.39,82112.3,6.71,0.13,-18.71,,2.99,,10467.04,-18.9,,24.46
24,22.87,24.46,23.35,22.87,101451.17,0.5,2.19,22.804000000000002,22.203000000000003,21.426,93251.16,84075.68,85456.97,7.14,0.13,-18.71,,2.99,,10467.04,-18.9,,24.98
25,23.47,24.98,24.71,23.0,145386.23,1.36,5.82,23.314,22.62,21.638,108607.6,95519.99,86852.94,10.23,0.13,-18.71,,2.99,,10467.04,-18.9,,26.98
26,24.98,26.98,25.92,24.75,172424.27,1.21,4.9,23.918000000000003,23.112,21.878,121904.24,107346.39,86795.38,12.14,0.13,-18.71,,2.99,,10467.04,-18.9,,26.0
27,25.97,26.0,24.88,24.59,118187.11,-1.04,-4.01,24.342,23.409000000000002,22.090999999999998,126551.04,108018.32,85622.7,8.32,0.13,-18.71,,2.99,,10467.04,-18.9,,24.98
28,24.79,24.98,24.83,24.45,75948.45,-0.05,-0.2,24.738000000000003,23.666999999999998,22.281999999999996,122679.45,106339.17,85699.08,5.35,0.13,-18.71,,2.99,,10467.04,-18.9,,24.93
29,24.84,24.93,24.63,24.5,68548.01,-0.2,-0.81,24.994,23.899,22.443,116098.81,104674.99,83956.34,4.83,0.13,-18.71,,2.99,,10467.04,-18.9,,25.17
