,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,predict_high
0,18.68,20.48,20.1,18.68,242104.12,1.48,7.95,20.1,20.1,20.1,242104.12,242104.12,242104.12,5.34,20.46
1,20.33,20.46,19.7,19.61,100670.68,-0.4,-1.99,19.9,19.9,19.9,171387.4,171387.4,171387.4,2.22,20.58
2,20.0,20.58,20.12,19.91,1815.0,0.42,2.13,19.973,19.973,19.973,114863.27,114863.27,114863.27,0.04,20.42
3,19.76,20.42,19.93,19.61,104783.45,0.23,1.17,19.963,19.963,19.963,112343.31,112343.31,112343.31,2.31,21.2
4,20.08,21.2,20.8,19.9,153522.56,0.87,4.37,20.13,20.13,20.13,120579.16,120579.16,120579.16,3.39,21.08
5,20.8,21.08,20.79,20.4,76028.63,-0.01,-0.05,20.268,20.24,20.24,87364.06,113154.07,113154.07,1.68,22.87
6,21.22,22.87,22.43,21.22,171528.88,1.64,7.89,20.814,20.553,20.553,101535.7,121493.33,121493.33,3.78,22.74
7,22.43,22.74,22.25,21.85,117686.94,-0.18,-0.8,21.24,20.765,20.765,124710.09,121017.53,121017.53,2.6,22.77
8,22.2,22.77,22.06,21.61,94710.47,-0.19,-0.85,21.666,20.909000000000002,20.909000000000002,122695.5,118094.53,118094.53,2.09,22.46
9,22.15,22.46,22.42,21.6,79925.53,0.36,1.63,21.99,21.06,21.06,107976.09,114277.63,114277.63,1.76,23.7
10,22.6,23.7,21.36,21.36,125202.17,-1.06,-4.73,22.104,21.186,21.087,117810.8,102587.43,115270.77,2.76,21.95
11,20.8,21.95,21.89,20.6,99214.33,0.53,2.48,21.996,21.405,21.154,103347.89,102441.8,113932.73,2.19,23.81
12,21.53,23.81,22.9,21.5,132661.05,1.01,4.61,22.125999999999998,21.683000000000003,21.288,106342.71,115526.4,115373.37,2.93,25.19
13,25.18,25.19,25.19,23.88,269912.94,2.29,10.0,22.752,22.209,21.566999999999997,141383.2,132039.35,126411.91,5.95,25.4
14,24.99,25.4,24.9,23.98,178821.72,-0.29,-1.15,23.248,22.619,21.789,161162.44,134569.27,129905.9,3.94,25.37
15,24.88,25.37,24.97,24.24,109337.51,0.07,0.28,23.97,23.037,21.988000000000003,157989.51,137900.15,128620.37,2.41,26.5
16,25.01,26.5,25.84,25.0,160448.88,0.87,3.48,24.76,23.378,22.215,170236.42,136792.15,130492.64,3.54,25.81
17,25.81,25.81,25.07,24.6,164545.75,-0.77,-2.98,25.194000000000003,23.66,22.373,176613.36,141478.04,132384.48,3.63,26.5
18,25.65,26.5,25.99,25.65,180100.69,0.92,3.67,25.354,24.053,22.564,158650.91,150017.06,134895.86,3.97,25.95
19,25.5,25.95,25.47,24.8,156550.52,-0.52,-2.0,25.468000000000004,24.358,22.709,154196.67,157679.56,135978.59,3.45,25.65
20,25.6,25.65,25.28,24.9,108094.02,-0.19,-0.75,25.53,24.75,22.968000000000004,153947.97,155968.74,129278.09,2.38,27.29
21,25.43,27.29,26.96,25.1,165838.94,1.68,6.65,25.754,25.256999999999998,23.331,155025.98,162631.2,132536.5,3.66,26.88
22,26.88,26.88,26.76,25.63,119790.06,-0.2,-0.74,26.092,25.643,23.663,146074.85,161344.1,138435.25,2.64,29.44
23,26.55,29.44,29.44,26.0,215630.25,2.68,10.02,26.781999999999996,26.068,24.139,153180.76,155915.83,143977.59,4.76,32.37
24,29.37,32.37,29.45,28.29,256644.59,0.01,0.03,27.578000000000003,26.523000000000003,24.570999999999998,173199.57,163698.12,149133.69,5.66,32.4
25,29.5,32.4,32.4,29.5,196789.34,2.95,10.02,29.002,27.266,25.151999999999997,190938.64,172443.3,155171.73,4.34,35.64
