,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,predict_low
0,15.26,15.33,15.27,15.16,8720.74,0.13,0.86,15.27,15.27,15.27,8720.74,8720.74,8720.74,0.72,15.18
1,15.32,15.33,15.26,15.18,8126.61,-0.01,-0.07,15.265,15.265,15.265,8423.67,8423.67,8423.67,0.67,15.29
2,15.29,15.46,15.37,15.29,148.0,0.11,0.72,15.3,15.3,15.3,5665.12,5665.12,5665.12,0.01,15.24
3,15.26,15.45,15.42,15.24,10347.03,0.16,1.05,15.33,15.33,15.33,6835.59,6835.59,6835.59,0.86,15.25
4,15.49,15.5,15.44,15.25,8709.62,0.02,0.13,15.352,15.352,15.352,7210.4,7210.4,7210.4,0.72,15.34
5,15.34,15.61,15.46,15.34,11711.27,0.02,0.13,15.39,15.37,15.37,7808.51,7960.54,7960.54,0.97,15.47
6,15.6,16.05,16.0,15.47,26420.54,0.54,3.49,15.538,15.46,15.46,11467.29,10597.69,10597.69,2.18,15.81
7,15.99,16.04,15.86,15.81,13675.16,-0.14,-0.88,15.636,15.51,15.51,14172.72,10982.37,10982.37,1.13,15.81
8,15.81,16.05,16.02,15.81,13777.04,0.16,1.01,15.755999999999998,15.567,15.567,14858.73,11292.89,11292.89,1.14,15.93
9,16.02,16.15,16.14,15.93,22848.12,0.12,0.75,15.895999999999999,15.624,15.624,17686.43,12448.41,12448.41,1.89,16.63
10,17.75,17.75,16.85,16.63,102750.39,0.71,4.4,16.174,15.782,15.735,35894.25,21851.38,20657.68,8.5,16.0
11,16.68,16.68,16.5,16.0,40127.71,-0.35,-2.08,16.274,15.905999999999999,15.799000000000001,38635.68,25051.49,22280.19,3.32,16.65
12,16.78,17.39,16.9,16.65,40142.29,0.4,2.42,16.482,16.059,15.884,43929.11,29050.92,23654.19,3.32,16.52
13,16.8,17.08,17.08,16.52,26562.64,0.18,1.06,16.694000000000003,16.225,15.969000000000001,46486.23,30672.48,23861.94,2.2,16.65
14,17.04,17.09,16.72,16.65,23062.42,-0.36,-2.11,16.81,16.352999999999998,16.019000000000002,46529.09,32107.76,23808.64,1.91,16.65
15,16.76,16.86,16.75,16.65,16510.42,0.03,0.18,16.79,16.482,16.065,29281.1,32587.67,23352.5,1.37,16.74
16,16.85,17.07,17.05,16.74,29777.04,0.3,1.79,16.9,16.587,16.123,27210.96,32923.32,23730.41,2.46,16.86
17,17.06,17.67,17.67,16.86,95233.91,0.62,3.64,17.054000000000002,16.768,16.209,38229.29,41079.2,27702.83,7.87,17.38
18,17.49,18.82,18.11,17.38,77341.49,0.44,2.49,17.26,16.977,16.309,48385.06,47435.64,30315.39,6.39,17.73
19,18.03,18.17,17.96,17.73,40209.98,-0.15,-0.83,17.508,17.159000000000002,16.392,51814.57,49171.83,30810.12,3.32,17.92
20,17.96,18.59,18.52,17.92,55047.18,0.56,3.12,17.862000000000002,17.326,16.554000000000002,59521.92,44401.51,33126.44,4.55,18.53
21,18.6,19.5,19.25,18.53,62526.99,0.73,3.94,18.302,17.601,16.754,66071.91,46641.44,35846.46,5.17,18.08
22,19.24,19.34,18.79,18.08,69983.15,-0.46,-2.39,18.526,17.79,16.925,61021.76,49625.52,39338.22,5.79,18.5
23,18.75,19.9,19.78,18.5,74734.42,0.99,5.27,18.86,18.06,17.143,60500.34,54442.7,42557.59,6.18,19.35
24,19.63,20.6,19.96,19.35,58192.76,0.18,0.91,19.26,18.384,17.369,64096.9,57955.73,45031.75,4.81,19.39
25,20.11,20.21,19.69,19.39,34221.46,-0.27,-1.35,19.494,18.678,17.58,59931.76,59726.84,46157.26,2.83,19.15
26,20.0,20.09,19.39,19.15,46533.72,-0.3,-1.52,19.522000000000002,18.912,17.75,56733.1,61402.51,47162.91,3.85,19.22
27,19.43,19.78,19.45,19.22,33939.38,0.06,0.31,19.654,19.09,17.929000000000002,49524.35,55273.05,48176.13,2.81,19.7
28,19.7,21.4,21.4,19.7,89039.84,1.95,10.03,19.977999999999998,19.419,18.198,52385.43,56442.89,51939.27,7.36,21.75
29,21.9,23.54,23.54,21.75,132465.05,2.14,10.0,20.694000000000003,19.977,18.567999999999998,67239.89,65668.4,57420.11,10.95,22.91
30,23.8,25.75,25.1,22.91,108381.25,1.56,6.63,21.776,20.635,18.980999999999998,82071.85,71001.8,57701.66,8.96,24.72
31,25.6,27.59,27.5,24.72,140246.17,2.4,9.56,23.398000000000003,21.46,19.531,100814.34,78773.72,62707.58,11.6,27.87
32,27.87,30.25,30.25,27.87,116543.35,2.75,10.0,25.558000000000003,22.605999999999998,20.198,117335.13,83429.74,66527.63,9.64,27.61
33,31.0,31.69,30.78,27.61,120810.65,0.53,1.75,27.434,23.706,20.883000000000003,123689.29,88037.36,71240.03,9.99,29.62
34,29.97,31.6,30.84,29.62,109604.89,0.06,0.2,28.894000000000002,24.794,21.589000000000002,119117.26,93178.58,75567.15,9.06,28.57
35,30.8,30.8,28.68,28.57,137714.75,-2.16,-7.0,29.61,25.693,22.186,124983.96,103527.91,81627.37,11.39,13.39
