,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,yeji_eps,yeji_eps_yoy,yeji_bvps,yeji_roe,yeji_epcf,yeji_net_profits,yeji_profits_yoy,yeji_distrib,predict_high,predict_low,predict_open
0,20.08,21.9,21.9,20.08,290.0,6.69,43.98,21.9,21.9,21.9,290.0,290.0,290.0,0.16,0.54,-6.9,9.29,6.04,-0.17,3532.66,13.69,10转12,24.09,24.09,24.09
1,24.09,24.09,24.09,24.09,46.0,2.19,10.0,22.995,22.995,22.995,168.0,168.0,168.0,0.03,0.54,-6.9,9.29,6.04,-0.17,3532.66,13.69,10转12,26.5,26.5,26.5
2,26.5,26.5,26.5,26.5,14.0,2.41,10.0,24.163,24.163,24.163,116.67,116.67,116.67,0.01,0.54,-6.9,9.29,6.04,-0.17,3532.66,13.69,10转12,26.5,26.5,26.5
3,26.5,26.5,26.5,26.5,51.0,2.41,10.0,24.748,24.748,24.748,100.25,100.25,100.25,0.03,0.54,-6.9,9.29,6.04,-0.17,3532.66,13.69,10转12,29.15,29.15,29.15
4,29.15,29.15,29.15,29.15,66.0,2.65,10.0,25.628,25.628,25.628,93.4,93.4,93.4,0.04,0.54,-6.9,9.29,6.04,-0.17,3532.66,13.69,10转12,32.07,32.07,32.07
5,32.07,32.07,32.07,32.07,166.0,2.92,10.02,27.662,26.701999999999998,26.701999999999998,68.6,105.5,105.5,0.09,0.54,-6.9,9.29,6.04,-0.17,3532.66,13.69,10转12,35.28,35.28,35.28
6,35.28,35.28,35.28,35.28,331.0,3.21,10.01,29.9,27.927,27.927,125.6,137.71,137.71,0.18,0.54,-6.9,9.29,6.04,-0.17,3532.66,13.69,10转12,38.81,38.81,38.81
7,38.81,38.81,38.81,38.81,852.08,3.53,10.01,32.361999999999995,29.288,29.288,293.22,227.01,227.01,0.47,0.54,-6.9,9.29,6.04,-0.17,3532.66,13.69,10转12,42.69,42.69,42.69
8,42.69,42.69,42.69,42.69,1300.0,3.88,10.0,35.6,30.776999999999997,30.776999999999997,543.02,346.23,346.23,0.72,0.54,-6.9,9.29,6.04,-0.17,3532.66,13.69,10转12,46.96,46.96,46.96
9,46.96,46.96,46.96,46.96,807.0,4.27,10.0,39.162,32.395,32.395,691.22,392.31,392.31,0.45,0.54,-6.9,9.29,6.04,-0.17,3532.66,13.69,10转12,51.66,51.66,51.66
10,51.66,51.66,51.66,51.66,2529.78,4.7,10.01,43.08,35.371,34.146,1163.97,616.29,586.62,1.41,0.54,-6.9,9.29,6.04,-0.17,3532.66,13.69,10转12,56.83,54.3,56.83
11,56.83,56.83,56.83,54.3,115580.21,5.17,10.01,47.39,38.645,36.037,24213.81,12169.71,10169.42,64.21,0.54,-6.9,9.29,6.04,-0.17,3532.66,13.69,10转12,57.99,51.66,57.99
12,57.99,57.99,52.49,51.66,86223.2,-4.34,-7.64,50.126000000000005,41.244,37.302,41288.04,20790.63,16019.71,47.9,0.54,-6.9,9.29,6.04,-0.17,3532.66,13.69,10转12,53.3,50.11,51.0
